generation,population,mean_fitness,mean_f1,mean_f2,mean_f3,mean_f4,mean_skills,mean_entropy,unique_portfolios,condition,seed
0,20,0.8399,0.975,0.95,0.8421,0.47,4.35,0.7948,13,mendelian,42
1,30,0.8624,1.0,1.0,0.8322,0.48,4.7667,0.7582,16,mendelian,42
2,30,0.8624,1.0,1.0,0.8322,0.48,4.7667,0.7582,16,mendelian,42
3,30,0.8624,1.0,1.0,0.8322,0.48,4.7667,0.7582,16,mendelian,42
4,30,0.8522,1.0,1.0,0.8345,0.4267,4.9333,0.7204,15,mendelian,42
5,30,0.8589,1.0,1.0,0.8414,0.4533,5.0667,0.7082,15,mendelian,42
6,30,0.8589,1.0,1.0,0.8414,0.4533,5.0667,0.7082,15,mendelian,42
7,30,0.8589,1.0,1.0,0.8414,0.4533,5.0667,0.7082,15,mendelian,42
8,30,0.8444,0.9833,0.9667,0.8506,0.4467,5.0,0.7213,16,mendelian,42
9,30,0.8542,1.0,1.0,0.8713,0.4,4.7667,0.7745,14,mendelian,42
10,30,0.8542,1.0,1.0,0.8713,0.4,4.7667,0.7745,14,mendelian,42
11,30,0.8542,1.0,1.0,0.8713,0.4,4.7667,0.7745,14,mendelian,42
12,30,0.8021,0.95,0.9,0.869,0.3667,4.4,0.7467,19,mendelian,42
13,30,0.8491,1.0,1.0,0.8322,0.4133,4.7667,0.7376,15,mendelian,42
14,30,0.8491,1.0,1.0,0.8322,0.4133,4.7667,0.7376,15,mendelian,42
15,30,0.8491,1.0,1.0,0.8322,0.4133,4.7667,0.7376,15,mendelian,42
16,30,0.8302,0.9833,0.9667,0.846,0.38,4.4667,0.7326,15,mendelian,42
17,30,0.8437,1.0,1.0,0.8184,0.4,4.4667,0.7286,15,mendelian,42
18,30,0.8437,1.0,1.0,0.8184,0.4,4.4667,0.7286,15,mendelian,42
19,30,0.8437,1.0,1.0,0.8184,0.4,4.4667,0.7286,15,mendelian,42
20,30,0.8443,1.0,1.0,0.8483,0.3733,4.2667,0.7582,15,mendelian,42
21,30,0.8503,1.0,1.0,0.8782,0.3733,4.1333,0.8223,18,mendelian,42
22,30,0.8503,1.0,1.0,0.8782,0.3733,4.1333,0.8223,18,mendelian,42
23,30,0.8503,1.0,1.0,0.8782,0.3733,4.1333,0.8223,18,mendelian,42
24,30,0.846,0.9833,0.9667,0.8851,0.42,4.1667,0.8058,18,mendelian,42
25,30,0.8543,1.0,1.0,0.8851,0.3867,3.9,0.8043,17,mendelian,42
26,30,0.8543,1.0,1.0,0.8851,0.3867,3.9,0.8043,17,mendelian,42
27,30,0.8543,1.0,1.0,0.8851,0.3867,3.9,0.8043,17,mendelian,42
28,30,0.8435,1.0,1.0,0.8575,0.36,4.0667,0.8199,20,mendelian,42
29,30,0.8279,0.9833,0.9667,0.8345,0.38,3.8667,0.8173,17,mendelian,42
30,30,0.845,1.0,1.0,0.8253,0.4,4.0333,0.8461,16,mendelian,42
31,30,0.845,1.0,1.0,0.8253,0.4,4.0333,0.8461,16,mendelian,42
32,30,0.8319,0.9833,0.9667,0.8414,0.3933,3.6667,0.8248,14,mendelian,42
33,30,0.8408,0.9833,0.9667,0.8322,0.4467,3.9333,0.8001,15,mendelian,42
34,30,0.8567,1.0,1.0,0.8437,0.44,3.9333,0.833,15,mendelian,42
35,30,0.8567,1.0,1.0,0.8437,0.44,3.9333,0.833,15,mendelian,42
36,30,0.8404,1.0,1.0,0.8023,0.4,3.8,0.874,13,mendelian,42
37,30,0.8216,0.9833,0.9667,0.8299,0.3533,3.5,0.8911,13,mendelian,42
38,30,0.8386,1.0,1.0,0.7931,0.4,3.6667,0.8911,12,mendelian,42
39,30,0.8386,1.0,1.0,0.7931,0.4,3.6667,0.8911,12,mendelian,42
40,30,0.8471,1.0,1.0,0.7954,0.44,3.8,0.8683,12,mendelian,42
41,30,0.8409,0.9833,0.9667,0.8598,0.42,3.7333,0.8592,15,mendelian,42
42,30,0.8555,1.0,1.0,0.8644,0.4133,3.8333,0.8592,18,mendelian,42
43,30,0.8555,1.0,1.0,0.8644,0.4133,3.8333,0.8592,18,mendelian,42
44,30,0.8587,1.0,1.0,0.8667,0.4267,3.8667,0.8764,18,mendelian,42
45,30,0.8621,1.0,1.0,0.8575,0.4533,3.9333,0.8617,14,mendelian,42
46,30,0.863,1.0,1.0,0.8483,0.4667,3.8,0.8617,13,mendelian,42
47,30,0.863,1.0,1.0,0.8483,0.4667,3.8,0.8617,13,mendelian,42
48,30,0.8565,1.0,1.0,0.8161,0.4667,3.6667,0.8986,13,mendelian,42
49,30,0.8524,1.0,1.0,0.7287,0.5333,3.9,0.8567,13,mendelian,42
0,20,0.8399,0.975,0.95,0.8421,0.47,4.35,0.7948,13,mendelian,137
1,30,0.8443,0.9833,0.9667,0.8897,0.4067,4.3667,0.8289,17,mendelian,137
2,30,0.8443,0.9833,0.9667,0.8897,0.4067,4.4,0.833,17,mendelian,137
3,30,0.86,1.0,1.0,0.8736,0.4267,4.5,0.8199,16,mendelian,137
4,30,0.8022,0.95,0.9,0.8827,0.3533,4.5,0.8018,18,mendelian,137
5,30,0.8477,1.0,1.0,0.8253,0.4133,4.8333,0.773,16,mendelian,137
6,30,0.8477,1.0,1.0,0.8253,0.4133,4.8333,0.773,16,mendelian,137
7,30,0.8492,1.0,1.0,0.846,0.4,4.8,0.782,16,mendelian,137
8,30,0.8346,1.0,1.0,0.8529,0.32,4.6667,0.806,14,mendelian,137
9,30,0.8052,1.0,1.0,0.7195,0.3067,4.8,0.7938,12,mendelian,137
10,30,0.8052,1.0,1.0,0.7195,0.3067,4.8,0.7938,12,mendelian,137
11,30,0.812,1.0,1.0,0.7402,0.32,4.8333,0.7848,12,mendelian,137
12,30,0.811,0.9833,0.9667,0.8299,0.3,4.6333,0.7697,14,mendelian,137
13,30,0.8359,1.0,1.0,0.8598,0.32,4.6667,0.7491,12,mendelian,137
14,30,0.8359,1.0,1.0,0.8598,0.32,4.6667,0.7491,12,mendelian,137
15,30,0.835,1.0,1.0,0.8552,0.32,4.7,0.7294,12,mendelian,137
16,30,0.8338,1.0,1.0,0.8759,0.2933,4.1333,0.7616,12,mendelian,137
17,30,0.8244,1.0,1.0,0.8552,0.2667,3.8333,0.7459,10,mendelian,137
18,30,0.8244,1.0,1.0,0.8552,0.2667,3.8333,0.7459,10,mendelian,137
19,30,0.8212,1.0,1.0,0.8529,0.2533,3.7667,0.7747,10,mendelian,137
20,30,0.7975,0.9833,0.9667,0.8161,0.2467,3.9,0.7854,12,mendelian,137
21,30,0.7638,0.9667,0.9333,0.7425,0.2267,3.9333,0.8257,12,mendelian,137
22,30,0.7891,1.0,1.0,0.7057,0.24,4.0667,0.8257,10,mendelian,137
23,30,0.7891,1.0,1.0,0.7057,0.24,4.0667,0.8257,10,mendelian,137
24,30,0.8169,1.0,1.0,0.8046,0.28,4.2667,0.7313,8,mendelian,137
25,30,0.8016,0.9833,0.9667,0.823,0.26,3.9667,0.751,9,mendelian,137
26,30,0.8115,1.0,1.0,0.7908,0.2667,4.0,0.7601,9,mendelian,137
27,30,0.8138,1.0,1.0,0.8023,0.2667,3.9,0.7601,10,mendelian,137
28,30,0.8111,1.0,1.0,0.8023,0.2533,3.5667,0.8536,11,mendelian,137
29,30,0.8359,1.0,1.0,0.8598,0.32,3.9333,0.7961,13,mendelian,137
30,30,0.8358,1.0,1.0,0.846,0.3333,4.0,0.7542,13,mendelian,137
31,30,0.8232,0.9833,0.9667,0.8644,0.3267,3.9667,0.7451,14,mendelian,137
32,30,0.8435,1.0,1.0,0.8575,0.36,4.5333,0.645,12,mendelian,137
33,30,0.8341,1.0,1.0,0.8506,0.32,4.0667,0.6778,12,mendelian,137
34,30,0.8395,1.0,1.0,0.8644,0.3333,4.1,0.6975,12,mendelian,137
35,30,0.8395,1.0,1.0,0.8644,0.3333,4.1,0.6975,12,mendelian,137
36,30,0.8404,1.0,1.0,0.869,0.3333,4.1667,0.7739,14,mendelian,137
37,30,0.8255,0.9833,0.9667,0.8759,0.3267,4.1,0.7698,14,mendelian,137
38,30,0.8228,0.9833,0.9667,0.8759,0.3133,4.0667,0.8092,14,mendelian,137
39,30,0.8359,1.0,1.0,0.8598,0.32,4.0667,0.8092,13,mendelian,137
40,30,0.8132,0.9833,0.9667,0.8276,0.3133,3.7,0.8076,15,mendelian,137
41,30,0.8347,1.0,1.0,0.8138,0.36,3.9667,0.8125,12,mendelian,137
42,30,0.842,1.0,1.0,0.8368,0.3733,4.0,0.7994,13,mendelian,137
43,30,0.8452,1.0,1.0,0.8529,0.3733,4.0333,0.7994,13,mendelian,137
44,30,0.8227,0.9667,0.9333,0.9035,0.36,3.7667,0.7444,17,mendelian,137
45,30,0.8412,0.9833,0.9667,0.9012,0.38,4.0333,0.7288,15,mendelian,137
46,30,0.8472,1.0,1.0,0.8759,0.36,3.9,0.7247,14,mendelian,137
47,30,0.8439,1.0,1.0,0.8598,0.36,3.8667,0.7247,13,mendelian,137
48,30,0.8422,1.0,1.0,0.8644,0.3467,4.0,0.7,13,mendelian,137
49,30,0.8195,0.9833,0.9667,0.846,0.3267,4.0,0.6712,14,mendelian,137
0,20,0.8399,0.975,0.95,0.8421,0.47,4.35,0.7948,13,mendelian,256
1,30,0.8296,0.9667,0.9333,0.8713,0.4267,4.5667,0.792,18,mendelian,256
2,30,0.8621,1.0,1.0,0.8437,0.4667,4.8,0.7592,16,mendelian,256
3,30,0.8621,1.0,1.0,0.8437,0.4667,4.8,0.7592,16,mendelian,256
4,30,0.8399,0.9833,0.9667,0.8414,0.4333,5.1667,0.6688,16,mendelian,256
5,30,0.8547,1.0,1.0,0.8069,0.4667,5.2,0.6638,16,mendelian,256
6,30,0.8524,1.0,1.0,0.7954,0.4667,5.2,0.6638,16,mendelian,256
7,30,0.8524,1.0,1.0,0.7954,0.4667,5.2,0.6638,16,mendelian,256
8,30,0.824,0.9833,0.9667,0.7218,0.4733,5.0667,0.6613,13,mendelian,256
9,30,0.8364,1.0,1.0,0.6621,0.52,5.2667,0.6844,10,mendelian,256
10,30,0.8364,1.0,1.0,0.6621,0.52,5.3,0.6754,10,mendelian,256
11,30,0.8364,1.0,1.0,0.6621,0.52,5.3,0.6754,10,mendelian,256
12,30,0.8392,1.0,1.0,0.6896,0.5067,5.1,0.7263,11,mendelian,256
13,30,0.8383,1.0,1.0,0.685,0.5067,5.0667,0.732,11,mendelian,256
14,30,0.8439,1.0,1.0,0.7264,0.4933,4.9,0.7739,11,mendelian,256
15,30,0.8439,1.0,1.0,0.7264,0.4933,4.9,0.7739,11,mendelian,256
16,30,0.8458,1.0,1.0,0.7356,0.4933,4.6667,0.8355,11,mendelian,256
17,30,0.8482,1.0,1.0,0.7609,0.48,4.5,0.8667,13,mendelian,256
18,30,0.85,1.0,1.0,0.7701,0.48,4.5333,0.8577,13,mendelian,256
19,30,0.85,1.0,1.0,0.7701,0.48,4.5333,0.8577,13,mendelian,256
20,30,0.8546,1.0,1.0,0.7931,0.48,4.7333,0.8265,12,mendelian,256
21,30,0.8506,1.0,1.0,0.8,0.4533,4.6,0.8296,8,mendelian,256
22,30,0.8524,1.0,1.0,0.7954,0.4667,4.7333,0.7968,9,mendelian,256
23,30,0.8524,1.0,1.0,0.7954,0.4667,4.7333,0.7968,9,mendelian,256
24,30,0.8498,1.0,1.0,0.8092,0.44,4.8,0.7811,10,mendelian,256
25,30,0.8407,1.0,1.0,0.777,0.4267,4.9667,0.7499,12,mendelian,256
26,30,0.8418,1.0,1.0,0.8092,0.4,4.8,0.7959,12,mendelian,256
27,30,0.8418,1.0,1.0,0.8092,0.4,4.8,0.7959,12,mendelian,256
28,30,0.8471,1.0,1.0,0.7954,0.44,4.9333,0.7656,12,mendelian,256
29,30,0.8466,1.0,1.0,0.7264,0.5067,5.2333,0.7205,11,mendelian,256
30,30,0.8436,1.0,1.0,0.685,0.5333,5.3333,0.7033,10,mendelian,256
31,30,0.8436,1.0,1.0,0.685,0.5333,5.3333,0.7033,10,mendelian,256
32,30,0.8528,1.0,1.0,0.731,0.5333,5.3333,0.6836,8,mendelian,256
33,30,0.8267,1.0,1.0,0.6,0.5333,5.5667,0.5825,7,mendelian,256
34,30,0.8267,1.0,1.0,0.6,0.5333,5.6333,0.5538,8,mendelian,256
35,30,0.8267,1.0,1.0,0.6,0.5333,5.6333,0.5538,8,mendelian,256
36,30,0.811,0.9833,0.9667,0.6299,0.5,5.7,0.5134,8,mendelian,256
37,30,0.84,1.0,1.0,0.7333,0.4667,5.4,0.5922,9,mendelian,256
38,30,0.8401,1.0,1.0,0.7471,0.4533,5.3667,0.6013,10,mendelian,256
39,30,0.8401,1.0,1.0,0.7471,0.4533,5.3667,0.6013,10,mendelian,256
40,30,0.8483,1.0,1.0,0.7885,0.4533,5.2333,0.6284,10,mendelian,256
41,30,0.8547,1.0,1.0,0.8069,0.4667,5.3,0.649,14,mendelian,256
42,30,0.8551,1.0,1.0,0.7954,0.48,5.3333,0.64,14,mendelian,256
43,30,0.8551,1.0,1.0,0.7954,0.48,5.3333,0.64,14,mendelian,256
44,30,0.8505,1.0,1.0,0.7724,0.48,5.5333,0.6204,11,mendelian,256
45,30,0.8316,0.9833,0.9667,0.7862,0.4467,5.4333,0.6023,11,mendelian,256
46,30,0.8465,1.0,1.0,0.7793,0.4533,5.4667,0.6351,10,mendelian,256
47,30,0.8465,1.0,1.0,0.7793,0.4533,5.4667,0.6351,10,mendelian,256
48,30,0.8474,1.0,1.0,0.7839,0.4533,5.3,0.6901,11,mendelian,256
49,30,0.8448,1.0,1.0,0.7839,0.44,5.0333,0.7311,10,mendelian,256
0,20,0.8399,0.975,0.95,0.8421,0.47,4.35,0.7948,13,mendelian,1001
1,30,0.8477,0.9833,0.9667,0.8667,0.4467,4.7333,0.7254,16,mendelian,1001
2,30,0.8635,1.0,1.0,0.8644,0.4533,4.7667,0.7345,16,mendelian,1001
3,30,0.8635,1.0,1.0,0.8644,0.4533,4.7667,0.7345,16,mendelian,1001
4,30,0.825,0.9833,0.9667,0.8069,0.3933,5.2,0.6144,14,mendelian,1001
5,30,0.8336,0.9833,0.9667,0.823,0.42,4.9333,0.6785,15,mendelian,1001
6,30,0.848,1.0,1.0,0.8,0.44,5.0333,0.6785,14,mendelian,1001
7,30,0.848,1.0,1.0,0.8,0.44,5.0333,0.6785,14,mendelian,1001
8,30,0.8475,1.0,1.0,0.7977,0.44,4.8667,0.7477,15,mendelian,1001
9,30,0.8445,1.0,1.0,0.8092,0.4133,4.8333,0.7739,14,mendelian,1001
10,30,0.84,1.0,1.0,0.8,0.4,4.8,0.778,13,mendelian,1001
11,30,0.84,1.0,1.0,0.8,0.4,4.8,0.778,13,mendelian,1001
12,30,0.8354,1.0,1.0,0.7103,0.4667,5.1,0.6745,14,mendelian,1001
13,30,0.8381,1.0,1.0,0.7241,0.4667,4.8333,0.6416,15,mendelian,1001
14,30,0.8366,1.0,1.0,0.6896,0.4933,4.9,0.6376,14,mendelian,1001
15,30,0.8366,1.0,1.0,0.6896,0.4933,4.9,0.6376,14,mendelian,1001
16,30,0.8423,1.0,1.0,0.6782,0.5333,5.0667,0.6244,13,mendelian,1001
17,30,0.84,1.0,1.0,0.6,0.6,5.6,0.5916,11,mendelian,1001
18,30,0.84,1.0,1.0,0.6,0.6,5.6,0.5916,12,mendelian,1001
19,30,0.84,1.0,1.0,0.6,0.6,5.6,0.5916,12,mendelian,1001
20,30,0.8464,1.0,1.0,0.6322,0.6,5.5,0.6385,11,mendelian,1001
21,30,0.8354,1.0,1.0,0.577,0.6,5.4667,0.6138,10,mendelian,1001
22,30,0.8317,1.0,1.0,0.5586,0.6,5.5,0.6047,9,mendelian,1001
23,30,0.8317,1.0,1.0,0.5586,0.6,5.5,0.6047,9,mendelian,1001
24,30,0.84,1.0,1.0,0.6,0.6,5.3,0.635,12,mendelian,1001
25,30,0.8382,1.0,1.0,0.5908,0.6,5.2333,0.6926,11,mendelian,1001
26,30,0.84,1.0,1.0,0.6,0.6,5.2,0.6926,11,mendelian,1001
27,30,0.84,1.0,1.0,0.6,0.6,5.2,0.6926,11,mendelian,1001
28,30,0.8271,1.0,1.0,0.5357,0.6,5.2333,0.7032,10,mendelian,1001
29,30,0.8409,1.0,1.0,0.6046,0.6,5.1333,0.7411,12,mendelian,1001
30,30,0.8409,1.0,1.0,0.6046,0.6,5.1333,0.7501,11,mendelian,1001
31,30,0.8409,1.0,1.0,0.6046,0.6,5.1333,0.7501,11,mendelian,1001
32,30,0.8369,1.0,1.0,0.5977,0.5867,4.7333,0.8076,12,mendelian,1001
33,30,0.8502,1.0,1.0,0.6644,0.5867,4.6,0.8107,12,mendelian,1001
34,30,0.8539,1.0,1.0,0.6828,0.5867,4.7,0.7779,13,mendelian,1001
35,30,0.8539,1.0,1.0,0.6828,0.5867,4.7,0.7779,13,mendelian,1001
36,30,0.8524,1.0,1.0,0.662,0.6,4.9,0.7714,11,mendelian,1001
37,30,0.8547,1.0,1.0,0.6735,0.6,4.8667,0.7763,11,mendelian,1001
38,30,0.8565,1.0,1.0,0.6827,0.6,4.7667,0.8092,11,mendelian,1001
39,30,0.8565,1.0,1.0,0.6827,0.6,4.7667,0.8092,11,mendelian,1001
40,30,0.8561,1.0,1.0,0.6805,0.6,4.6667,0.842,12,mendelian,1001
41,30,0.8561,1.0,1.0,0.6805,0.6,4.6333,0.8264,12,mendelian,1001
42,30,0.8574,1.0,1.0,0.6874,0.6,4.6667,0.8173,12,mendelian,1001
43,30,0.8574,1.0,1.0,0.6874,0.6,4.6667,0.8173,12,mendelian,1001
44,30,0.8547,1.0,1.0,0.6735,0.6,4.1,0.8936,12,mendelian,1001
45,30,0.8492,1.0,1.0,0.6459,0.6,4.0333,0.9174,11,mendelian,1001
46,30,0.8492,1.0,1.0,0.6459,0.6,4.0667,0.9133,10,mendelian,1001
47,30,0.8492,1.0,1.0,0.6459,0.6,4.0667,0.9133,10,mendelian,1001
48,30,0.8574,1.0,1.0,0.6874,0.6,4.3333,0.8789,10,mendelian,1001
49,30,0.8455,1.0,1.0,0.6276,0.6,4.7667,0.8117,11,mendelian,1001
0,20,0.8399,0.975,0.95,0.8421,0.47,4.35,0.7948,13,mendelian,2026
1,30,0.8284,0.9667,0.9333,0.8253,0.4667,4.6667,0.7501,16,mendelian,2026
2,30,0.861,1.0,1.0,0.8253,0.48,4.6667,0.7451,15,mendelian,2026
3,30,0.861,1.0,1.0,0.8253,0.48,4.6667,0.7451,15,mendelian,2026
4,30,0.8177,0.9667,0.9333,0.892,0.3467,4.3667,0.7335,17,mendelian,2026
5,30,0.8288,0.9833,0.9667,0.9057,0.3133,3.9667,0.7829,20,mendelian,2026
6,30,0.846,1.0,1.0,0.8966,0.3333,4.2333,0.787,19,mendelian,2026
7,30,0.846,1.0,1.0,0.8966,0.3333,4.2333,0.787,19,mendelian,2026
8,30,0.8169,0.9667,0.9333,0.9011,0.3333,4.0667,0.797,19,mendelian,2026
9,30,0.8524,1.0,1.0,0.8621,0.4,4.5333,0.7435,18,mendelian,2026
10,30,0.8551,1.0,1.0,0.8621,0.4133,4.5,0.7354,19,mendelian,2026
11,30,0.8551,1.0,1.0,0.8621,0.4133,4.5,0.7354,19,mendelian,2026
12,30,0.8372,0.9833,0.9667,0.8276,0.4333,4.5333,0.6754,18,mendelian,2026
13,30,0.8534,1.0,1.0,0.8138,0.4533,4.8333,0.6278,16,mendelian,2026
14,30,0.8561,1.0,1.0,0.8138,0.4667,4.9333,0.6278,16,mendelian,2026
15,30,0.8561,1.0,1.0,0.8138,0.4667,4.9333,0.6278,16,mendelian,2026
16,30,0.8528,1.0,1.0,0.7839,0.48,4.9333,0.6344,14,mendelian,2026
17,30,0.849,1.0,1.0,0.8184,0.4267,4.5667,0.6475,14,mendelian,2026
18,30,0.8467,1.0,1.0,0.8069,0.4267,4.6,0.6385,13,mendelian,2026
19,30,0.8467,1.0,1.0,0.8069,0.4267,4.6,0.6385,13,mendelian,2026
20,30,0.8378,1.0,1.0,0.8023,0.3867,4.2667,0.691,12,mendelian,2026
21,30,0.8075,0.9833,0.9667,0.7057,0.4067,3.8667,0.7839,13,mendelian,2026
22,30,0.8141,0.9833,0.9667,0.7655,0.38,3.7667,0.7864,15,mendelian,2026
23,30,0.83,1.0,1.0,0.7632,0.3867,3.7667,0.7864,15,mendelian,2026
24,30,0.8078,0.9667,0.9333,0.869,0.32,3.4667,0.8257,15,mendelian,2026
25,30,0.8359,1.0,1.0,0.8598,0.32,3.7,0.838,15,mendelian,2026
26,30,0.8368,1.0,1.0,0.8506,0.3333,3.7,0.8536,14,mendelian,2026
27,30,0.8363,1.0,1.0,0.8483,0.3333,3.7667,0.8577,13,mendelian,2026
28,30,0.8365,1.0,1.0,0.8092,0.3733,4.0333,0.8414,14,mendelian,2026
29,30,0.8179,0.9833,0.9667,0.7977,0.3667,3.7,0.8176,15,mendelian,2026
30,30,0.8322,1.0,1.0,0.7609,0.4,4.0333,0.8176,14,mendelian,2026
31,30,0.8344,1.0,1.0,0.7586,0.4133,4.1,0.8045,14,mendelian,2026
32,30,0.8449,1.0,1.0,0.8115,0.4133,4.0667,0.7526,13,mendelian,2026
33,30,0.8474,1.0,1.0,0.8506,0.3867,4.0333,0.7517,13,mendelian,2026
34,30,0.8444,1.0,1.0,0.8621,0.36,3.9,0.7886,13,mendelian,2026
35,30,0.8427,1.0,1.0,0.8667,0.3467,3.8,0.8018,13,mendelian,2026
36,30,0.8452,1.0,1.0,0.8529,0.3733,3.9667,0.7665,13,mendelian,2026
37,30,0.8513,1.0,1.0,0.8299,0.4267,4.4667,0.6942,12,mendelian,2026
38,30,0.8481,1.0,1.0,0.8138,0.4267,4.3,0.677,12,mendelian,2026
39,30,0.8449,1.0,1.0,0.7977,0.4267,4.2667,0.6729,11,mendelian,2026
40,30,0.8061,0.9667,0.9333,0.8207,0.36,3.8667,0.742,13,mendelian,2026
41,30,0.8079,1.0,1.0,0.7195,0.32,3.4333,0.8323,9,mendelian,2026
42,30,0.8025,1.0,1.0,0.7057,0.3067,3.3,0.8545,8,mendelian,2026
43,30,0.8093,1.0,1.0,0.7264,0.32,3.4,0.8545,8,mendelian,2026
44,30,0.8193,0.9833,0.9667,0.8184,0.3533,3.6333,0.801,11,mendelian,2026
45,30,0.8464,1.0,1.0,0.8322,0.4,4.1667,0.773,11,mendelian,2026
46,30,0.8408,1.0,1.0,0.7908,0.4133,4.4333,0.7771,11,mendelian,2026
47,30,0.8408,1.0,1.0,0.7908,0.4133,4.4667,0.768,11,mendelian,2026
48,30,0.8212,0.9833,0.9667,0.7609,0.42,4.4667,0.7755,13,mendelian,2026
49,30,0.8114,0.9833,0.9667,0.6851,0.4467,4.7,0.8183,10,mendelian,2026
